Greetings to you listeners ; Molweni baphulaphuli
He/She is excited ; uphethwe yimincili
He/She is full of him/herself ; uyazithanda
I LOVE YOU ; Ndiyakuthanda
Thank you very much ; Enkosi kakhulu
to take part/to participate ; ukuthatha inxaxheba
you are a man amongst men ; uyindoda emadodeni
and so on ; njalo-njalo
beef ; inyama yenkomo
bend over ; dunusa
Beware of the dog ; Lumkela inja
blow your ; nose finya
Day and night ; Imini nobususku
Do not sleep again ; musa ukulala kwakhona
Dogs out! ; Inja phandle
fat as a pig ; utyebe okwehagu
He/She has a broken heart ; Waphukelwe yintliziyo
he/she wants to pee ; utshiswa ngumchamo
human mistake ; impazamo eyenziwe ngumntu
I am busy ; ndixakekile
I am tired now ; ndidiniwe ngoku
I want food ; Ndifuna ukutya
I want food with nourishment ; Ndifuna ukutya okunesondlo
I want to ride in/on a bus ; Ndifuna ukukhwela uduladula
I want to sleep ; ndifuna ukulala
it is raining ; imvula iyana or kuyanetha
kneel ; guqa ngamadolo
Men inside ; Amadoda endlini
mielie meal ; umgubo wombona
move forward ; hambela phambili
mutton inyama ; yegusha
One who appears last ; Ovelemva
One who appears first ; Ovelekuqala
play the music ; ndlala/khalisa umculo
Please show me the house of ... ; Ndicela undibonise indlu ka...
pork ; inyama yehagu
quiet music ; umculo opholileyo
red coal ; amalahle abomvu
see you ; izakubonana
serve food ; phaka ukudla/ukutya
sit down ; hlala phantsi
stand up ; yima ngenyawo
stay well ; sala kakuhle
sweetened water ; amanzi aneswekile
thank you very much ; ndiyabulela kakhulu
The winter is here ; ubusika bufikile
undress ; khulula impahla
wash your ; face hlamba ubuso
weather forecast ; uqikelelo lwemozulu
what do you want? ; ufuna ntoni?
where are the girls ; aphi amantombi?
Where are the older people of the house ; Baphi abantu abadala/abakhulu
where do you go to school? ; ufunda phi?
where is my girl friend? ; iphi intokazi yam?
